广东省湛江市酒店 电信,#genre#
广东珠江高清,http://113.101.119.72:8090/hls/105/index.m3u8
湛江公共,http://113.101.119.72:8090/hls/3/index.m3u8
广东经济科教,http://113.101.119.72:8090/hls/129/index.m3u8
岭南戏曲,http://113.101.119.72:8090/hls/22/index.m3u8
广东新闻,http://113.101.119.72:8090/hls/106/index.m3u8
广东公共,http://113.101.119.72:8090/hls/107/index.m3u8
南方卫视,http://113.101.119.72:8090/hls/109/index.m3u8
广东卫视,http://113.101.119.72:8090/hls/152/index.m3u8
浙江卫视,http://113.101.119.72:8090/hls/131/index.m3u8
广东体育,http://113.101.119.72:8090/hls/108/index.m3u8
广东影视,http://113.101.119.72:8090/hls/110/index.m3u8
广东少儿,http://113.101.119.72:8090/hls/111/index.m3u8
CCTV-2高清,http://113.101.119.72:8090/hls/114/index.m3u8
CCTV-3高清,http://113.101.119.72:8090/hls/115/index.m3u8
CCTV-4高清,http://113.101.119.72:8090/hls/116/index.m3u8
CCTV5,http://113.101.119.72:8090/hls/58/index.m3u8
CCTV-5+,http://113.101.119.72:8090/hls/10/index.m3u8
CCTV-6高清,http://113.101.119.72:8090/hls/118/index.m3u8
CCTV-7高清,http://113.101.119.72:8090/hls/119/index.m3u8
CCTV-8高清,http://113.101.119.72:8090/hls/120/index.m3u8
CCTV-9高清,http://113.101.119.72:8090/hls/121/index.m3u8
CCTV-10高清,http://113.101.119.72:8090/hls/122/index.m3u8
CCTV-11高清,http://113.101.119.72:8090/hls/123/index.m3u8
CCTV-12高清,http://113.101.119.72:8090/hls/124/index.m3u8
CCTV-13高清,http://113.101.119.72:8090/hls/125/index.m3u8
CCTV-14,http://113.101.119.72:8090/hls/5/index.m3u8
CCTV-15高清,http://113.101.119.72:8090/hls/127/index.m3u8
湖南卫视,http://113.101.119.72:8090/hls/130/index.m3u8
吉林卫视,http://113.101.119.72:8090/hls/101/index.m3u8
东南卫视,http://113.101.119.72:8090/hls/102/index.m3u8
天津卫视,http://113.101.119.72:8090/hls/132/index.m3u8
山东卫视,http://113.101.119.72:8090/hls/133/index.m3u8
江西卫视,http://113.101.119.72:8090/hls/134/index.m3u8
深圳卫视,http://113.101.119.72:8090/hls/135/index.m3u8
湖北卫视,http://113.101.119.72:8090/hls/136/index.m3u8
黑龙江卫视,http://113.101.119.72:8090/hls/138/index.m3u8
江苏卫视,http://113.101.119.72:8090/hls/17/index.m3u8
贵州卫视,http://113.101.119.72:8090/hls/139/index.m3u8
四川卫视,http://113.101.119.72:8090/hls/140/index.m3u8
河南卫视,http://113.101.119.72:8090/hls/513/index.m3u8
重庆卫视,http://113.101.119.72:8090/hls/143/index.m3u8
河北卫视,http://113.101.119.72:8090/hls/144/index.m3u8
甘肃卫视,http://113.101.119.72:8090/hls/150/index.m3u8
厦门卫视,http://113.101.119.72:8090/hls/158/index.m3u8
云浮综合,http://113.101.119.72:8090/hls/200/index.m3u8
云浮公共,http://113.101.119.72:8090/hls/201/index.m3u8
嘉佳卡通,http://113.101.119.72:8090/hls/503/index.m3u8
东方卫视,http://113.101.119.72:8090/hls/508/index.m3u8
安徽卫视,http://113.101.119.72:8090/hls/509/index.m3u8
北京卫视,http://113.101.119.72:8090/hls/510/index.m3u8
江西卫视,http://113.101.119.72:8090/hls/511/index.m3u8
西藏卫视,http://113.101.119.72:8090/hls/521/index.m3u8
