河南省平顶山市酒店 联通,#genre#
CCTV1,http://182.122.73.19:8089/hls/1/index.m3u8
CCTV2,http://182.122.73.19:8089/hls/2/index.m3u8
CCTV3,http://182.122.73.19:8089/hls/3/index.m3u8
CCTV4,http://182.122.73.19:8089/hls/4/index.m3u8
CCTV5,http://182.122.73.19:8089/hls/5/index.m3u8
CCTV6,http://182.122.73.19:8089/hls/6/index.m3u8
CCTV7,http://182.122.73.19:8089/hls/7/index.m3u8
CCTV8,http://182.122.73.19:8089/hls/8/index.m3u8
CCTV9,http://182.122.73.19:8089/hls/9/index.m3u8
CCTV10,http://182.122.73.19:8089/hls/10/index.m3u8
CCTV11,http://182.122.73.19:8089/hls/11/index.m3u8
CCTV12,http://182.122.73.19:8089/hls/12/index.m3u8
CCTV13,http://182.122.73.19:8089/hls/13/index.m3u8
CCTV14,http://182.122.73.19:8089/hls/14/index.m3u8
CCTV15,http://182.122.73.19:8089/hls/15/index.m3u8
河南卫视,http://182.122.73.19:8089/hls/17/index.m3u8
河南都市,http://182.122.73.19:8089/hls/18/index.m3u8
河南民生,http://182.122.73.19:8089/hls/19/index.m3u8
河南法治,http://182.122.73.19:8089/hls/20/index.m3u8
河南电视剧,http://182.122.73.19:8089/hls/21/index.m3u8
河南新闻,http://182.122.73.19:8089/hls/22/index.m3u8
河南公共,http://182.122.73.19:8089/hls/24/index.m3u8
湖南卫视,http://182.122.73.19:8089/hls/30/index.m3u8
江苏卫视,http://182.122.73.19:8089/hls/31/index.m3u8
浙江卫视,http://182.122.73.19:8089/hls/32/index.m3u8
北京卫视,http://182.122.73.19:8089/hls/33/index.m3u8
东方卫视,http://182.122.73.19:8089/hls/34/index.m3u8
天津卫视,http://182.122.73.19:8089/hls/35/index.m3u8
山东卫视,http://182.122.73.19:8089/hls/36/index.m3u8
安徽卫视,http://182.122.73.19:8089/hls/37/index.m3u8
深圳卫视,http://182.122.73.19:8089/hls/38/index.m3u8
江西卫视,http://182.122.73.19:8089/hls/39/index.m3u8
湖北卫视,http://182.122.73.19:8089/hls/40/index.m3u8
四川卫视,http://182.122.73.19:8089/hls/41/index.m3u8
黑龙江卫视,http://182.122.73.19:8089/hls/42/index.m3u8
云南卫视,http://182.122.73.19:8089/hls/43/index.m3u8
贵州卫视,http://182.122.73.19:8089/hls/44/index.m3u8
辽宁卫视,http://182.122.73.19:8089/hls/45/index.m3u8
东南卫视,http://182.122.73.19:8089/hls/46/index.m3u8
广东卫视,http://182.122.73.19:8089/hls/48/index.m3u8
广东省湛江市酒店 电信,#genre#
广东珠江高清,http://113.101.119.56:808/hls/105/index.m3u8
湛江公共,http://113.101.119.56:808/hls/3/index.m3u8
广东经济科教,http://113.101.119.56:808/hls/129/index.m3u8
岭南戏曲,http://113.101.119.56:808/hls/22/index.m3u8
广东新闻,http://113.101.119.56:808/hls/106/index.m3u8
广东公共,http://113.101.119.56:808/hls/107/index.m3u8
南方卫视,http://113.101.119.56:808/hls/109/index.m3u8
广东卫视,http://113.101.119.56:808/hls/152/index.m3u8
浙江卫视,http://113.101.119.56:808/hls/131/index.m3u8
广东体育,http://113.101.119.56:808/hls/108/index.m3u8
广东影视,http://113.101.119.56:808/hls/110/index.m3u8
广东少儿,http://113.101.119.56:808/hls/111/index.m3u8
CCTV-2高清,http://113.101.119.56:808/hls/114/index.m3u8
CCTV-3高清,http://113.101.119.56:808/hls/115/index.m3u8
CCTV-4高清,http://113.101.119.56:808/hls/116/index.m3u8
CCTV5,http://113.101.119.56:808/hls/58/index.m3u8
CCTV-5+,http://113.101.119.56:808/hls/10/index.m3u8
CCTV-6高清,http://113.101.119.56:808/hls/118/index.m3u8
CCTV-7高清,http://113.101.119.56:808/hls/119/index.m3u8
