代理源 上海电信,#genre#
CCTV1综合,http://116.237.170.51:7788/608807420
CCTV2财经,http://116.237.170.51:7788/631780532
CCTV3综艺,http://116.237.170.51:7788/624878271
CCTV4中文国际,http://116.237.170.51:7788/631780421
CCTV5体育,http://116.237.170.51:7788/641886683
CCTV5+体育赛事,http://116.237.170.51:7788/641886773
CCTV6电影,http://116.237.170.51:7788/624878396
CCTV7国防军事,http://116.237.170.51:7788/673168121
CCTV8电视剧,http://116.237.170.51:7788/624878356
CCTV9纪录,http://116.237.170.51:7788/673168140
CCTV10科教,http://116.237.170.51:7788/624878405
CCTV11戏曲,http://116.237.170.51:7788/667987558
CCTV12社会与法,http://116.237.170.51:7788/673168185
CCTV13新闻,http://116.237.170.51:7788/608807423
CCTV14少儿,http://116.237.170.51:7788/624878440
CCTV15音乐,http://116.237.170.51:7788/673168223
CCTV17农业农村,http://116.237.170.51:7788/673168256
CCTV4欧洲,http://116.237.170.51:7788/608807419
CCTV4美洲,http://116.237.170.51:7788/608807416
CGTN外语纪录,http://116.237.170.51:7788/609006487
CGTN阿拉伯语,http://116.237.170.51:7788/609154345
CGTN西班牙语,http://116.237.170.51:7788/609006450
CGTN法语,http://116.237.170.51:7788/609006476
CGTN俄语,http://116.237.170.51:7788/609006446
老故事,http://116.237.170.51:7788/884121956
发现之旅,http://116.237.170.51:7788/624878970
中学生,http://116.237.170.51:7788/708869532
CGTN,http://116.237.170.51:7788/609017205
东方卫视,http://116.237.170.51:7788/651632648
江苏卫视,http://116.237.170.51:7788/623899368
广东卫视,http://116.237.170.51:7788/608831231
北京卫视,http://116.237.170.51:7788/630287636
辽宁卫视,http://116.237.170.51:7788/630291707
河北卫视,http://116.237.170.51:7788/962042070
江西卫视,http://116.237.170.51:7788/783847495
河南卫视,http://116.237.170.51:7788/790187291
陕西卫视,http://116.237.170.51:7788/738910838
大湾区卫视,http://116.237.170.51:7788/608917627
湖北卫视,http://116.237.170.51:7788/947472496
吉林卫视,http://116.237.170.51:7788/947472500
青海卫视,http://116.237.170.51:7788/947472506
东南卫视,http://116.237.170.51:7788/849116810
海南卫视,http://116.237.170.51:7788/947472502
海峡卫视,http://116.237.170.51:7788/849119120
中国农林卫视,http://116.237.170.51:7788/956904896
兵团卫视,http://116.237.170.51:7788/956923145
宁夏卫视,http://116.237.170.51:7788/738910535
重庆卫视,http://116.237.170.51:7788/738910914
三沙卫视,http://116.237.170.51:7788/961023778
黑龙江卫视,http://116.237.170.51:7788/738906901
上海新闻综合,http://116.237.170.51:7788/651632657
上视东方影视,http://116.237.170.51:7788/617290047
上海第一财经,http://116.237.170.51:7788/608780988
南京新闻综合频道,http://116.237.170.51:7788/838109047
南京教科频道,http://116.237.170.51:7788/838153729
南京十八频道,http://116.237.170.51:7788/838151753
体育休闲频道,http://116.237.170.51:7788/626064707
江苏城市频道,http://116.237.170.51:7788/626064714
江苏国际,http://116.237.170.51:7788/626064674
江苏教育,http://116.237.170.51:7788/628008321
江苏影视频道,http://116.237.170.51:7788/626064697
江苏综艺频道,http://116.237.170.51:7788/626065193
公共新闻频道,http://116.237.170.51:7788/626064693
盐城新闻综合,http://116.237.170.51:7788/639731825
淮安新闻综合,http://116.237.170.51:7788/639731826
泰州新闻综合,http://116.237.170.51:7788/639731818
连云港新闻综合,http://116.237.170.51:7788/639731715
宿迁新闻综合,http://116.237.170.51:7788/639731832
徐州新闻综合,http://116.237.170.51:7788/639731747
优漫卡通频道,http://116.237.170.51:7788/626064703
江阴新闻综合,http://116.237.170.51:7788/955227979
南通新闻综合,http://116.237.170.51:7788/955227985
宜兴新闻综合,http://116.237.170.51:7788/955227996
溧水新闻综合,http://116.237.170.51:7788/639737327
陕西银龄频道,http://116.237.170.51:7788/956909362
陕西都市青春频道,http://116.237.170.51:7788/956909358
陕西秦腔频道,http://116.237.170.51:7788/956909303
陕西新闻资讯频道,http://116.237.170.51:7788/956909289
财富天下,http://116.237.170.51:7788/956923159
镇江新闻综合,http://116.237.170.51:7788/639731783
海南广播电视总台新闻频道,http://116.237.170.51:7788/962067517
海南广播电视总台自贸频道,http://116.237.170.51:7788/962045226
海南广播电视总台社会与法频道,http://116.237.170.51:7788/962045223
海南广播电视总台文旅频道,http://116.237.170.51:7788/962067526
海南广播电视总台少儿频道,http://116.237.170.51:7788/962067523
广东珠江频道,http://116.237.170.51:7788/639731952
赛事最经典,http://116.237.170.51:7788/646596895
体坛名栏汇,http://116.237.170.51:7788/629943305
四海钓鱼,http://116.237.170.51:7788/637444975
陕西体育休闲频道,http://116.237.170.51:7788/956909356
24小时城市联赛轮播台,http://116.237.170.51:7788/915512915
武术世界,http://116.237.170.51:7788/958475359
快乐垂钓,http://116.237.170.51:7788/961930263
建党105周年巡礼,http://116.237.170.51:7788/713600957
经典香港电影,http://116.237.170.51:7788/625703337
新片放映厅,http://116.237.170.51:7788/619495952
CHC影迷电影,http://116.237.170.51:7788/952383261
CHC动作电影,http://116.237.170.51:7788/644368714
CHC家庭影院,http://116.237.170.51:7788/644368373
